PERMNO,date,TICKER,COMNAM,PRC,VOL,SHROUT,OPENPRC
21413,2021-10-13,META,LISTED FUNDS TRUST,14.44000,257245,7400,14.31000
21413,2021-10-14,META,LISTED FUNDS TRUST,14.64000,103746,7400,14.60000
21413,2021-10-15,META,LISTED FUNDS TRUST,14.78000,177948,7400,14.75000
21413,2021-10-18,META,LISTED FUNDS TRUST,14.92000,145590,7400,14.73000
21413,2021-10-19,META,LISTED FUNDS TRUST,15.16000,211679,7400,15.00000
21413,2021-10-20,META,LISTED FUNDS TRUST,15.12000,210689,7400,15.17000
21413,2021-10-21,META,LISTED FUNDS TRUST,15.31000,277676,7400,15.07000
21413,2021-10-22,META,LISTED FUNDS TRUST,14.94000,274371,7400,15.12000
21413,2021-10-25,META,LISTED FUNDS TRUST,15.04000,410574,7400,15.03000
21413,2021-10-26,META,LISTED FUNDS TRUST,15.04000,663555,7400,15.22000
21413,2021-10-27,META,LISTED FUNDS TRUST,14.93000,338916,7400,15.06000
21413,2021-10-28,META,LISTED FUNDS TRUST,15.22000,2215936,7400,15.00000
21413,2021-10-29,META,LISTED FUNDS TRUST,15.32000,1734118,9725,15.18000
21413,2021-11-01,META,LISTED FUNDS TRUST,15.50000,2482332,9725,15.47000
21413,2021-11-02,META,LISTED FUNDS TRUST,15.47000,1446890,9725,15.51000
21413,2021-11-03,META,LISTED FUNDS TRUST,15.60000,1428302,9725,15.50000
21413,2021-11-04,META,LISTED FUNDS TRUST,15.82000,1772318,9725,15.68000
21413,2021-11-05,META,LISTED FUNDS TRUST,15.75000,2371113,9725,15.94000
21413,2021-11-08,META,LISTED FUNDS TRUST,15.99000,3610406,9725,15.91000
21413,2021-11-09,META,LISTED FUNDS TRUST,16.39000,5028837,9725,16.45800
21413,2021-11-10,META,LISTED FUNDS TRUST,15.91000,3672017,9725,16.13000
21413,2021-11-11,META,LISTED FUNDS TRUST,16.09000,2476084,9725,16.14000
21413,2021-11-12,META,LISTED FUNDS TRUST,16.45000,3764549,9725,16.19000
21413,2021-11-15,META,LISTED FUNDS TRUST,16.53000,7582899,9725,16.63000
21413,2021-11-16,META,LISTED FUNDS TRUST,16.77000,5542536,9725,16.48000
21413,2021-11-17,META,LISTED FUNDS TRUST,16.73000,6534341,9725,16.81000
21413,2021-11-18,META,LISTED FUNDS TRUST,16.84000,7976486,9725,16.97000
21413,2021-11-19,META,LISTED FUNDS TRUST,16.90000,5918489,9725,16.88000
21413,2021-11-22,META,LISTED FUNDS TRUST,16.30000,7956088,9725,17.11000
21413,2021-11-23,META,LISTED FUNDS TRUST,16.10000,4578303,9725,16.22000
21413,2021-11-24,META,LISTED FUNDS TRUST,16.28000,3151818,9725,15.87000
21413,2021-11-26,META,LISTED FUNDS TRUST,16.01000,4179966,9725,16.18000
21413,2021-11-29,META,LISTED FUNDS TRUST,16.38000,4274010,9725,16.28000
21413,2021-11-30,META,LISTED FUNDS TRUST,16.10000,4992415,50400,16.33000
21413,2021-12-01,META,LISTED FUNDS TRUST,15.47000,6225015,50400,16.37000
21413,2021-12-02,META,LISTED FUNDS TRUST,15.60000,2956254,50400,15.41500
21413,2021-12-03,META,LISTED FUNDS TRUST,15.19000,4098283,50400,15.67000
21413,2021-12-06,META,LISTED FUNDS TRUST,15.26000,2918764,50400,15.12500
21413,2021-12-07,META,LISTED FUNDS TRUST,15.84000,2558783,50400,15.72000
21413,2021-12-08,META,LISTED FUNDS TRUST,16.04000,2932906,50400,15.84000
21413,2021-12-09,META,LISTED FUNDS TRUST,15.58000,2600902,50400,16.03000
21413,2021-12-10,META,LISTED FUNDS TRUST,15.52000,1848318,50400,15.77000
21413,2021-12-13,META,LISTED FUNDS TRUST,15.24000,2178533,50400,15.53000
21413,2021-12-14,META,LISTED FUNDS TRUST,15.06000,2662945,50400,15.02000
21413,2021-12-15,META,LISTED FUNDS TRUST,15.28000,2356281,50400,14.95000
21413,2021-12-16,META,LISTED FUNDS TRUST,14.79000,2511073,50400,15.45000
21413,2021-12-17,META,LISTED FUNDS TRUST,14.90000,2285306,50400,14.58000
21413,2021-12-20,META,LISTED FUNDS TRUST,14.65000,1757551,50400,14.53000
21413,2021-12-21,META,LISTED FUNDS TRUST,15.17000,1606675,50400,14.88000
21413,2021-12-22,META,LISTED FUNDS TRUST,15.24000,2486958,50400,15.16000
21413,2021-12-23,META,LISTED FUNDS TRUST,15.36000,1889063,50400,15.35000
21413,2021-12-27,META,LISTED FUNDS TRUST,15.60000,2088905,50400,15.43000
21413,2021-12-28,META,LISTED FUNDS TRUST,15.37000,2094794,50400,15.63000
21413,2021-12-29,META,LISTED FUNDS TRUST,15.25000,1754742,50400,15.39000
21413,2021-12-30,META,LISTED FUNDS TRUST,15.31000,1481543,50400,15.29000
21413,2021-12-31,META,LISTED FUNDS TRUST,15.18000,1367278,61525,15.40000
21413,2022-01-03,META,LISTED FUNDS TRUST,15.25000,2271695,61525,15.36000
21413,2022-01-04,META,LISTED FUNDS TRUST,14.91000,3030653,61525,15.30000
21413,2022-01-05,META,LISTED FUNDS TRUST,14.24000,3229326,61525,14.79000
21413,2022-01-06,META,LISTED FUNDS TRUST,14.28000,2934433,61525,14.19000
21413,2022-01-07,META,LISTED FUNDS TRUST,14.13000,1947869,61525,14.28000
21413,2022-01-10,META,LISTED FUNDS TRUST,14.13000,2545030,61525,13.85000
21413,2022-01-11,META,LISTED FUNDS TRUST,14.46000,1712195,61525,14.14000
21413,2022-01-12,META,LISTED FUNDS TRUST,14.53000,1454029,61525,14.66000
21413,2022-01-13,META,LISTED FUNDS TRUST,13.90000,2161494,61525,14.59000
21413,2022-01-14,META,LISTED FUNDS TRUST,13.97000,1682546,61525,13.85000
21413,2022-01-18,META,LISTED FUNDS TRUST,13.55000,2247109,61525,13.87000
21413,2022-01-19,META,LISTED FUNDS TRUST,13.41000,1657123,61525,13.65000
21413,2022-01-20,META,LISTED FUNDS TRUST,13.30000,1868892,61525,13.62000
21413,2022-01-21,META,LISTED FUNDS TRUST,12.77000,2483983,61525,13.13000
21413,2022-01-24,META,LISTED FUNDS TRUST,12.84000,4186226,61525,12.34000
